iter	Logloss
0	0.5334449592
1	0.4217002889
2	0.3417013635
3	0.2786572908
4	0.2298957454
5	0.1919956568
6	0.1609709464
7	0.1372123682
8	0.1168797707
9	0.1013358127
10	0.08818611061
11	0.07684711245
12	0.06798846494
13	0.06004254959
14	0.05429779722
15	0.04867547146
16	0.04393833547
17	0.04077602881
18	0.03751010463
19	0.03502818267
20	0.03257726884
21	0.03075002794
22	0.02875700292
23	0.02717457222
24	0.02515314176
25	0.02356324963
26	0.02272853893
27	0.02156873448
28	0.02066819296
29	0.01988924285
30	0.0195516459
31	0.01901891498
32	0.01834437205
33	0.0177574658
34	0.01718370245
35	0.01675302764
36	0.01622753132
37	0.01577528646
38	0.01523503573
39	0.01467834325
40	0.01433466491
41	0.01360965326
42	0.0132582421
43	0.01298582836
44	0.01263222976
45	0.01249109749
46	0.01226319279
47	0.01205187221
48	0.01168981497
49	0.01141437832
50	0.01122251987
51	0.01093325948
52	0.01065547021
53	0.01058578562
54	0.01058148962
55	0.01044449608
56	0.01029400069
57	0.009990992706
58	0.009841673528
59	0.009667482996
60	0.009493572422
61	0.009374936011
62	0.009269988741
63	0.009149477838
64	0.0089740562
65	0.00894096663
66	0.008702526017
67	0.008620210885
68	0.008594779419
69	0.008583736796
70	0.00857406124
71	0.008556813058
72	0.00854832966
73	0.008540732538
74	0.008421991143
75	0.00833636647
76	0.008329909598
77	0.008034074264
78	0.008020064338
79	0.007903932845
80	0.007892888213
81	0.007828043219
82	0.007768346422
83	0.007759143296
84	0.00754522383
85	0.007536371884
86	0.007509994325
87	0.007500379881
88	0.007494015744
89	0.007381382699
90	0.007375598699
91	0.007318762471
92	0.007272450488
93	0.007178260697
94	0.00713539966
95	0.007131106246
96	0.007125017727
97	0.007119773749
98	0.007114935323
99	0.007064380669
